Calibracion,Mercado,Fuente_Cuotas,Gestion Capital,Banca Final,Monto Apostado,ROI,Total Apuestas,Win Rate,Max Drawdown
UNCAL,1X2,Real (Bet365),FLAT,$8.80,$16130.00,-6.15%,1613,29.82%,99.27%
UNCAL,1X2,Real (Bet365),KELLY,$0.96,$10280.61,-9.72%,428,28.74%,99.97%
UNCAL,1X2,Real (Bet365),HALF,$1.98,$8671.58,-11.51%,1420,30.99%,99.90%
UNCAL,1X2,Real (Bet365),QUARTER,$32.83,$9265.52,-10.44%,1779,29.51%,98.03%
UNCAL,1X2,Real (Bet365),EDGE,$1.95,$8014.17,-12.45%,1048,30.15%,99.89%
UNCAL,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),FLAT,$582.32,$3960.00,-10.55%,396,51.77%,44.63%
UNCAL,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),KELLY,$3.21,$8485.04,-11.75%,396,51.77%,99.77%
UNCAL,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),HALF,$82.48,$8086.76,-11.35%,396,51.77%,93.13%
UNCAL,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),QUARTER,$315.23,$6013.76,-11.39%,396,51.77%,71.33%
UNCAL,DOUBLE_CHANCE_1X,Sintético (Poisson/Arbitraje),EDGE,$88.98,$7363.10,-12.37%,396,51.77%,92.83%
UNCAL,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),FLAT,$786.26,$4210.00,-5.08%,421,34.92%,38.79%
UNCAL,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),KELLY,$11.34,$6760.82,-14.62%,420,35.00%,99.62%
UNCAL,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),HALF,$205.11,$7954.13,-9.99%,421,34.92%,88.98%
UNCAL,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),QUARTER,$538.45,$6130.67,-7.53%,421,34.92%,61.38%
UNCAL,DOUBLE_CHANCE_X2,Sintético (Poisson/Arbitraje),EDGE,$158.70,$8953.40,-9.40%,421,34.92%,93.07%
UNCAL,OVER,Real (Bet365),FLAT,$814.80,$4690.00,-3.95%,469,45.84%,35.46%
UNCAL,OVER,Real (Bet365),KELLY,$28.87,$7370.80,-13.18%,469,45.84%,99.19%
UNCAL,OVER,Real (Bet365),HALF,$288.59,$8761.99,-8.12%,469,45.84%,86.37%
UNCAL,OVER,Real (Bet365),QUARTER,$613.21,$6954.49,-5.56%,469,45.84%,59.05%
UNCAL,OVER,Real (Bet365),EDGE,$242.14,$8327.76,-9.10%,469,45.84%,87.75%
UNCAL,UNDER,Real (Bet365),FLAT,$792.10,$8350.00,-2.49%,835,38.20%,59.90%
UNCAL,UNDER,Real (Bet365),KELLY,$0.93,$55581.48,-1.80%,684,37.87%,99.99%
UNCAL,UNDER,Real (Bet365),HALF,$77.70,$34989.86,-2.64%,835,38.20%,99.02%
UNCAL,UNDER,Real (Bet365),QUARTER,$388.84,$17651.80,-3.46%,835,38.20%,88.18%
UNCAL,UNDER,Real (Bet365),EDGE,$68.46,$40686.80,-2.29%,835,38.20%,99.34%
UNCAL,BTTS,Sintético (Poisson/Arbitraje),FLAT,$927.12,$1090.00,-6.69%,109,44.95%,21.59%
UNCAL,BTTS,Sintético (Poisson/Arbitraje),KELLY,$335.15,$3006.69,-22.11%,109,44.95%,88.62%
UNCAL,BTTS,Sintético (Poisson/Arbitraje),HALF,$634.82,$2494.95,-14.64%,109,44.95%,63.55%
UNCAL,BTTS,Sintético (Poisson/Arbitraje),QUARTER,$815.21,$1615.20,-11.44%,109,44.95%,38.47%
UNCAL,BTTS,Sintético (Poisson/Arbitraje),EDGE,$616.40,$2554.97,-15.01%,109,44.95%,65.23%
